,Indicator,PUBLISH STATES,Year,WHO region,World Bank income group,Country,Sex,Display Value,Numeric,Low,High,Comments
1026,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Madagascar,Female,16,16.0,,,
1027,Life expectancy at birth (years),Published,2012,Africa,Low-income,Mali,Male,57,57.0,,,
1028,Life expectancy at birth (years),Published,1990,Africa,Low-income,Mali,Female,46,46.0,,,
1029,Life expectancy at age 60 (years),Published,2000,South-East Asia,Low-income,Myanmar,Male,15,15.0,,,
1030,Life expectancy at age 60 (years),Published,2012,South-East Asia,Low-income,Myanmar,Male,16,16.0,,,
1031,Life expectancy at birth (years),Published,2012,Africa,Low-income,Mozambique,Both sexes,53,53.0,,,
1032,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,Mozambique,Both sexes,14,14.0,,,
1033,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Mauritania,Female,17,17.0,,,
1034,Life expectancy at birth (years),Published,2012,Africa,Low-income,Malawi,Male,58,58.0,,,
1035,Life expectancy at birth (years),Published,2012,Africa,Low-income,Malawi,Female,60,60.0,,,
1036,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Malawi,Male,15,15.0,,,
1037,Life expectancy at birth (years),Published,2000,Africa,Low-income,Niger,Male,50,50.0,,,
1038,Life expectancy at birth (years),Published,2012,Africa,Low-income,Niger,Male,59,59.0,,,
1039,Life expectancy at birth (years),Published,1990,Africa,Low-income,Niger,Female,43,43.0,,,
1040,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Niger,Male,15,15.0,,,
1041,Life expectancy at birth (years),Published,1990,Western Pacific,Low-income,Niue,Both sexes,71,71.0,,,
1042,Life expectancy at age 60 (years),Published,1990,Western Pacific,Low-income,Niue,Male,16,16.0,,,
1043,Life expectancy at birth (years),Published,2000,South-East Asia,Low-income,Nepal,Female,63,63.0,,,
1044,Life expectancy at birth (years),Published,2012,South-East Asia,Low-income,Nepal,Female,69,69.0,,,
1045,Life expectancy at birth (years),Published,1990,South-East Asia,Low-income,Nepal,Both sexes,54,54.0,,,
1046,Life expectancy at age 60 (years),Published,2000,South-East Asia,Low-income,Nepal,Both sexes,16,16.0,,,
1047,Life expectancy at age 60 (years),Published,1990,South-East Asia,Low-income,Democratic People's Republic of Korea,Female,20,20.0,,,
1048,Life expectancy at birth (years),Published,2012,Africa,Low-income,Rwanda,Male,63,63.0,,,
1049,Life expectancy at birth (years),Published,1990,Africa,Low-income,Rwanda,Female,50,50.0,,,
1050,Life expectancy at birth (years),Published,2000,Africa,Low-income,Senegal,Male,56,56.0,,,
1051,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,Senegal,Male,15,15.0,,,
1052,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Senegal,Both sexes,16,16.0,,,
1053,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Chad,Male,14,14.0,,,
1054,Life expectancy at birth (years),Published,1990,Africa,Low-income,Togo,Male,54,54.0,,,
1055,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Togo,Female,17,17.0,,,
1056,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Togo,Both sexes,16,16.0,,,
1057,Life expectancy at birth (years),Published,2000,Europe,Low-income,Tajikistan,Both sexes,64,64.0,,,
1058,Life expectancy at age 60 (years),Published,1990,Europe,Low-income,Tajikistan,Female,18,18.0,,,
1059,Life expectancy at age 60 (years),Published,2012,Europe,Low-income,Tajikistan,Female,17,17.0,,,
1060,Life expectancy at birth (years),Published,1990,Africa,Low-income,United Republic of Tanzania,Female,52,52.0,,,
1061,Life expectancy at birth (years),Published,2000,Africa,Low-income,United Republic of Tanzania,Female,51,51.0,,,
1062,Life expectancy at birth (years),Published,2012,Africa,Low-income,United Republic of Tanzania,Female,63,63.0,,,
1063,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,United Republic of Tanzania,Male,17,17.0,,,
1064,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,United Republic of Tanzania,Female,16,16.0,,,
1065,Life expectancy at birth (years),Published,2012,Africa,Low-income,Uganda,Male,56,56.0,,,
1066,Life expectancy at birth (years),Published,1990,Africa,Low-income,Uganda,Female,49,49.0,,,
1067,Life expectancy at birth (years),Published,2012,Africa,Low-income,Uganda,Both sexes,57,57.0,,,
1068,Life expectancy at age 60 (years),Published,2012,Africa,Low-income,Uganda,Male,16,16.0,,,
1069,Life expectancy at birth (years),Published,2000,Europe,Low-income,Uzbekistan,Male,63,63.0,,,
1070,Life expectancy at birth (years),Published,1990,Europe,Low-income,Uzbekistan,Both sexes,67,67.0,,,
1071,Life expectancy at birth (years),Published,2000,Europe,Low-income,Uzbekistan,Both sexes,66,66.0,,,
1072,Life expectancy at age 60 (years),Published,1990,Europe,Low-income,Uzbekistan,Male,16,16.0,,,
1073,Life expectancy at birth (years),Published,2012,Western Pacific,Low-income,Viet Nam,Female,80,80.0,,,
1074,Life expectancy at birth (years),Published,1990,Western Pacific,Low-income,Viet Nam,Both sexes,70,70.0,,,
1075,Life expectancy at age 60 (years),Published,2012,Western Pacific,Low-income,Viet Nam,Female,25,25.0,,,
1076,Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Low-income,Yemen,Female,65,65.0,,,
1077,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,Low-income,Yemen,Male,15,15.0,,,
1078,Life expectancy at birth (years),Published,1990,Africa,Low-income,Zambia,Male,40,40.0,,,
1079,Life expectancy at birth (years),Published,2000,Africa,Low-income,Zambia,Male,40,40.0,,,
1080,Life expectancy at birth (years),Published,2000,Africa,Low-income,Zambia,Female,43,43.0,,,
1081,Life expectancy at age 60 (years),Published,1990,Africa,Low-income,Zambia,Male,14,14.0,,,
1082,Life expectancy at birth (years),Published,2000,Africa,Low-income,Zimbabwe,Male,42,42.0,,,
1083,Life expectancy at age 60 (years),Published,2000,Africa,Low-income,Zimbabwe,Both sexes,16,16.0,,,
1084,Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Angola,Female,45,45.0,,,
1085,Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Angola,Female,47,47.0,,,
1086,Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Angola,Female,52,52.0,,,
1087,Life expectancy at birth (years),Published,2000,Europe,Lower-middle-income,Albania,Male,68,68.0,,,
1088,Life expectancy at birth (years),Published,1990,Europe,Lower-middle-income,Armenia,Male,63,63.0,,,
1089,Life expectancy at birth (years),Published,2000,Europe,Lower-middle-income,Armenia,Both sexes,71,71.0,,,
1090,Life expectancy at age 60 (years),Published,1990,Europe,Lower-middle-income,Armenia,Male,14,14.0,,,
1091,Life expectancy at age 60 (years),Published,2012,Europe,Lower-middle-income,Armenia,Male,15,15.0,,,
1092,Life expectancy at age 60 (years),Published,2000,Europe,Lower-middle-income,Armenia,Both sexes,18,18.0,,,
1093,Life expectancy at birth (years),Published,2012,Europe,Lower-middle-income,Azerbaijan,Female,75,75.0,,,
1094,Life expectancy at birth (years),Published,2000,Europe,Lower-middle-income,Azerbaijan,Both sexes,66,66.0,,,
1095,Life expectancy at age 60 (years),Published,1990,Europe,Lower-middle-income,Azerbaijan,Male,15,15.0,,,
1096,Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Belize,Both sexes,71,71.0,,,
1097,Life expectancy at birth (years),Published,2000,South-East Asia,Lower-middle-income,Bhutan,Male,60,60.0,,,
1098,Life expectancy at birth (years),Published,2012,South-East Asia,Lower-middle-income,Bhutan,Both sexes,68,68.0,,,
1099,Life expectancy at age 60 (years),Published,2000,South-East Asia,Lower-middle-income,Bhutan,Both sexes,17,17.0,,,
1100,Life expectancy at age 60 (years),Published,2012,South-East Asia,Lower-middle-income,Bhutan,Both sexes,19,19.0,,,
1101,Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,China,Male,67,67.0,,,
1102,Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,China,Male,70,70.0,,,
1103,Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,China,Both sexes,69,69.0,,,
1104,Life expectancy at age 60 (years),Published,1990,Western Pacific,Lower-middle-income,China,Male,16,16.0,,,
1105,Life expectancy at age 60 (years),Published,2000,Western Pacific,Lower-middle-income,China,Both sexes,18,18.0,,,
1106,Life expectancy at age 60 (years),Published,2012,Western Pacific,Lower-middle-income,China,Both sexes,19,19.0,,,
1107,Life expectancy at age 60 (years),Published,2000,Africa,Lower-middle-income,Côte d'Ivoire,Female,16,16.0,,,
1108,Life expectancy at age 60 (years),Published,2012,Africa,Lower-middle-income,Côte d'Ivoire,Female,16,16.0,,,
1109,Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Cameroon,Female,57,57.0,,,
1110,Life expectancy at age 60 (years),Published,2000,Africa,Lower-middle-income,Cameroon,Female,16,16.0,,,
1111,Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Congo,Male,55,55.0,,,
1112,Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Congo,Female,58,58.0,,,
1113,Life expectancy at age 60 (years),Published,2012,Africa,Lower-middle-income,Congo,Male,17,17.0,,,
1114,Life expectancy at age 60 (years),Published,1990,Africa,Lower-middle-income,Congo,Female,17,17.0,,,
1115,Life expectancy at age 60 (years),Published,2012,Africa,Lower-middle-income,Congo,Both sexes,17,17.0,,,
1116,Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Cabo Verde,Male,63,63.0,,,
1117,Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Cabo Verde,Male,66,66.0,,,
1118,Life expectancy at age 60 (years),Published,1990,Africa,Lower-middle-income,Cabo Verde,Both sexes,17,17.0,,,
1119,Life expectancy at age 60 (years),Published,2012,Africa,Lower-middle-income,Cabo Verde,Both sexes,20,20.0,,,
1120,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Djibouti,Female,16,16.0,,,
1121,Life expectancy at age 60 (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Djibouti,Both sexes,15,15.0,,,
1122,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Djibouti,Both sexes,16,16.0,,,
1123,Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Ecuador,Female,72,72.0,,,
1124,Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,Ecuador,Female,76,76.0,,,
1125,Life expectancy at age 60 (years),Published,2012,Americas,Lower-middle-income,Ecuador,Female,23,23.0,,,
1126,Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Egypt,Female,67,67.0,,,
1127,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Egypt,Male,16,16.0,,,
1128,Life expectancy at age 60 (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Egypt,Female,18,18.0,,,
1129,Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Micronesia (Federated States of),Both sexes,69,69.0,,,
1130,Life expectancy at age 60 (years),Published,1990,Western Pacific,Lower-middle-income,Micronesia (Federated States of),Male,16,16.0,,,
1131,Life expectancy at age 60 (years),Published,2012,Western Pacific,Lower-middle-income,Micronesia (Federated States of),Both sexes,17,17.0,,,
1132,Life expectancy at birth (years),Published,2012,Europe,Lower-middle-income,Georgia,Female,78,78.0,,,
1133,Life expectancy at birth (years),Published,1990,Europe,Lower-middle-income,Georgia,Both sexes,71,71.0,,,
1134,Life expectancy at birth (years),Published,2000,Europe,Lower-middle-income,Georgia,Both sexes,72,72.0,,,
1135,Life expectancy at age 60 (years),Published,2012,Europe,Lower-middle-income,Georgia,Female,22,22.0,,,
1136,Life expectancy at age 60 (years),Published,2000,Europe,Lower-middle-income,Georgia,Both sexes,19,19.0,,,
1137,Life expectancy at age 60 (years),Published,2012,Europe,Lower-middle-income,Georgia,Both sexes,20,20.0,,,
1138,Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Guatemala,Female,65,65.0,,,
1139,Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,Guatemala,Female,75,75.0,,,
1140,Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,Guatemala,Both sexes,68,68.0,,,
1141,Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,Guyana,Male,60,60.0,,,
1142,Life expectancy at age 60 (years),Published,2000,Americas,Lower-middle-income,Guyana,Male,16,16.0,,,
1143,Life expectancy at age 60 (years),Published,2000,Americas,Lower-middle-income,Guyana,Female,18,18.0,,,
1144,Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Honduras,Female,69,69.0,,,
1145,Life expectancy at age 60 (years),Published,1990,Americas,Lower-middle-income,Honduras,Male,18,18.0,,,
1146,Life expectancy at age 60 (years),Published,2000,Americas,Lower-middle-income,Honduras,Male,19,19.0,,,
1147,Life expectancy at age 60 (years),Published,2000,Americas,Lower-middle-income,Honduras,Both sexes,21,21.0,,,
1148,Life expectancy at birth (years),Published,1990,South-East Asia,Lower-middle-income,Indonesia,Both sexes,62,62.0,,,
1149,Life expectancy at birth (years),Published,2012,South-East Asia,Lower-middle-income,Indonesia,Both sexes,71,71.0,,,
1150,Life expectancy at age 60 (years),Published,1990,South-East Asia,Lower-middle-income,Indonesia,Male,15,15.0,,,
1151,Life expectancy at age 60 (years),Published,2012,South-East Asia,Lower-middle-income,Indonesia,Female,19,19.0,,,
1152,Life expectancy at birth (years),Published,2000,South-East Asia,Lower-middle-income,India,Female,63,63.0,,,
1153,Life expectancy at birth (years),Published,2012,South-East Asia,Lower-middle-income,India,Female,68,68.0,,,
1154,Life expectancy at birth (years),Published,2000,South-East Asia,Lower-middle-income,India,Both sexes,62,62.0,,,
1155,Life expectancy at age 60 (years),Published,2000,South-East Asia,Lower-middle-income,India,Female,17,17.0,,,
1156,Life expectancy at age 60 (years),Published,1990,South-East Asia,Lower-middle-income,India,Both sexes,15,15.0,,,
1157,Life expectancy at age 60 (years),Published,2000,South-East Asia,Lower-middle-income,India,Both sexes,16,16.0,,,
1158,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Iran (Islamic Republic of),Female,18,18.0,,,
1159,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Iran (Islamic Republic of),Female,20,20.0,,,
1160,Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Iraq,Male,67,67.0,,,
1161,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Iraq,Male,17,17.0,,,
1162,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Iraq,Both sexes,18,18.0,,,
1163,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Jordan,Male,70,70.0,,,
1164,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Jordan,Both sexes,72,72.0,,,
1165,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Jordan,Male,17,17.0,,,
1166,Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Kiribati,Female,69,69.0,,,
1167,Life expectancy at age 60 (years),Published,2012,Western Pacific,Lower-middle-income,Kiribati,Female,18,18.0,,,
1168,Life expectancy at age 60 (years),Published,1990,Western Pacific,Lower-middle-income,Kiribati,Both sexes,16,16.0,,,
1169,Life expectancy at birth (years),Published,1990,South-East Asia,Lower-middle-income,Sri Lanka,Female,75,75.0,,,
1170,Life expectancy at age 60 (years),Published,1990,South-East Asia,Lower-middle-income,Sri Lanka,Female,21,21.0,,,
1171,Life expectancy at age 60 (years),Published,2000,South-East Asia,Lower-middle-income,Sri Lanka,Female,20,20.0,,,
1172,Life expectancy at age 60 (years),Published,2012,South-East Asia,Lower-middle-income,Sri Lanka,Female,22,22.0,,,
1173,Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Lesotho,Male,47,47.0,,,
1174,Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Lesotho,Female,49,49.0,,,
1175,Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Morocco,Male,63,63.0,,,
1176,Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Morocco,Both sexes,71,71.0,,,
1177,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Morocco,Both sexes,17,17.0,,,
1178,Life expectancy at birth (years),Published,1990,South-East Asia,Lower-middle-income,Maldives,Female,57,57.0,,,
1179,Life expectancy at birth (years),Published,2000,South-East Asia,Lower-middle-income,Maldives,Female,68,68.0,,,
1180,Life expectancy at age 60 (years),Published,2000,South-East Asia,Lower-middle-income,Maldives,Female,15,15.0,,,
1181,Life expectancy at age 60 (years),Published,1990,South-East Asia,Lower-middle-income,Maldives,Both sexes,13,13.0,,,
1182,Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Marshall Islands,Male,68,68.0,,,
1183,Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Marshall Islands,Female,68,68.0,,,
1184,Life expectancy at age 60 (years),Published,1990,Western Pacific,Lower-middle-income,Marshall Islands,Female,17,17.0,,,
1185,Life expectancy at age 60 (years),Published,2000,Western Pacific,Lower-middle-income,Marshall Islands,Female,18,18.0,,,
1186,Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,Mongolia,Male,58,58.0,,,
1187,Life expectancy at birth (years),Published,2000,Western Pacific,Lower-middle-income,Mongolia,Male,60,60.0,,,
1188,Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Mongolia,Both sexes,67,67.0,,,
1189,Life expectancy at age 60 (years),Published,2000,Western Pacific,Lower-middle-income,Mongolia,Both sexes,14,14.0,,,
1190,Life expectancy at age 60 (years),Published,2012,Western Pacific,Lower-middle-income,Mongolia,Both sexes,16,16.0,,,
1191,Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Nigeria,Male,47,47.0,,,
1192,Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Nigeria,Both sexes,47,47.0,,,
1193,Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Nigeria,Both sexes,54,54.0,,,
1194,Life expectancy at age 60 (years),Published,2012,Africa,Lower-middle-income,Nigeria,Both sexes,16,16.0,,,
1195,Life expectancy at age 60 (years),Published,1990,Americas,Lower-middle-income,Nicaragua,Female,24,24.0,,,
1196,Life expectancy at age 60 (years),Published,1990,Americas,Lower-middle-income,Nicaragua,Both sexes,22,22.0,,,
1197,Life expectancy at birth (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Pakistan,Female,64,64.0,,,
1198,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Pakistan,Female,18,18.0,,,
1199,Life expectancy at birth (years),Published,2012,Western Pacific,Lower-middle-income,Philippines,Male,65,65.0,,,
1200,Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,Philippines,Female,70,70.0,,,
1201,Life expectancy at age 60 (years),Published,1990,Western Pacific,Lower-middle-income,Philippines,Female,19,19.0,,,
1202,Life expectancy at age 60 (years),Published,2012,Western Pacific,Lower-middle-income,Philippines,Both sexes,17,17.0,,,
1203,Life expectancy at birth (years),Published,1990,Western Pacific,Lower-middle-income,Papua New Guinea,Male,53,53.0,,,
1204,Life expectancy at age 60 (years),Published,2000,Western Pacific,Lower-middle-income,Papua New Guinea,Both sexes,14,14.0,,,
1205,Life expectancy at birth (years),Published,1990,Americas,Lower-middle-income,Paraguay,Both sexes,73,73.0,,,
1206,Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,Paraguay,Both sexes,74,74.0,,,
1207,Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Sudan,Female,57,57.0,,,
1208,Life expectancy at birth (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Sudan,Female,65,65.0,,,
1209,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Sudan,Female,17,17.0,,,
1210,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,Lower-middle-income,Sudan,Female,18,18.0,,,
1211,Life expectancy at age 60 (years),Published,1990,Western Pacific,Lower-middle-income,Solomon Islands,Male,15,15.0,,,
1212,Life expectancy at birth (years),Published,2000,Americas,Lower-middle-income,El Salvador,Male,66,66.0,,,
1213,Life expectancy at birth (years),Published,2012,Americas,Lower-middle-income,El Salvador,Both sexes,72,72.0,,,
1214,Life expectancy at age 60 (years),Published,1990,Americas,Lower-middle-income,El Salvador,Male,18,18.0,,,
1215,Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Sao Tome and Principe,Female,69,69.0,,,
1216,Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Sao Tome and Principe,Both sexes,63,63.0,,,
1217,Life expectancy at birth (years),Published,2012,Africa,Lower-middle-income,Sao Tome and Principe,Both sexes,67,67.0,,,
1218,Life expectancy at age 60 (years),Published,2000,Africa,Lower-middle-income,Sao Tome and Principe,Both sexes,18,18.0,,,
1219,Life expectancy at birth (years),Published,1990,Africa,Lower-middle-income,Swaziland,Female,61,61.0,,,
1220,Life expectancy at birth (years),Published,2000,Africa,Lower-middle-income,Swaziland,Both sexes,48,48.0,,,
1221,Life expectancy at age 60 (years),Published,2000,Africa,Lower-middle-income,Swaziland,Female,16,16.0,,,
1222,Life expectancy at age 60 (years),Published,2012,Africa,Lower-middle-income,Swaziland,Female,17,17.0,,,
1223,Life expectancy at age 60 (years),Published,1990,Africa,Lower-middle-income,Swaziland,Both sexes,16,16.0,,,
1224,Life expectancy at birth (years),Published,1990,Eastern Mediterranean,Lower-middle-income,Syrian Arab Republic,Female,71,71.0,,,
1225,Life expectancy at age 60 (years),Published,2000,Eastern Mediterranean,Lower-middle-income,Syrian Arab Republic,Male,18,18.0,,,
1226,Life expectancy at age 60 (years),Published,2012,South-East Asia,Lower-middle-income,Thailand,Male,19,19.0,,,
1227,Life expectancy at birth (years),Published,2012,Europe,High-income,Andorra,Female,86,86.0,,,
1228,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Andorra,Female,26,26.0,,,
1229,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Andorra,Both sexes,22,22.0,,,
1230,Life expectancy at birth (years),Published,2012,Eastern Mediterranean,High-income,United Arab Emirates,Male,76,76.0,,,
1231,Life expectancy at birth (years),Published,1990,Eastern Mediterranean,High-income,United Arab Emirates,Female,73,73.0,,,
1232,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,High-income,United Arab Emirates,Male,19,19.0,,,
1233,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,High-income,United Arab Emirates,Female,20,20.0,,,
1234,Life expectancy at age 60 (years),Published,2012,Americas,High-income,Antigua and Barbuda,Male,21,21.0,,,
1235,Life expectancy at age 60 (years),Published,2000,Western Pacific,High-income,Australia,Male,21,21.0,,,
1236,Life expectancy at birth (years),Published,1990,Europe,High-income,Austria,Male,72,72.0,,,
1237,Life expectancy at birth (years),Published,1990,Europe,High-income,Austria,Both sexes,76,76.0,,,
1238,Life expectancy at birth (years),Published,1990,Europe,High-income,Belgium,Female,79,79.0,,,
1239,Life expectancy at birth (years),Published,1990,Europe,High-income,Belgium,Both sexes,76,76.0,,,
1240,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Belgium,Female,23,23.0,,,
1241,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Belgium,Female,24,24.0,,,
1242,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Belgium,Female,25,25.0,,,
1243,Life expectancy at birth (years),Published,2012,Eastern Mediterranean,High-income,Bahrain,Male,76,76.0,,,
1244,Life expectancy at age 60 (years),Published,2012,Eastern Mediterranean,High-income,Bahrain,Male,19,19.0,,,
1245,Life expectancy at birth (years),Published,2000,Americas,High-income,Bahamas,Male,69,69.0,,,
1246,Life expectancy at birth (years),Published,2012,Americas,High-income,Bahamas,Both sexes,75,75.0,,,
1247,Life expectancy at age 60 (years),Published,1990,Americas,High-income,Bahamas,Male,17,17.0,,,
1248,Life expectancy at age 60 (years),Published,2012,Americas,High-income,Bahamas,Both sexes,21,21.0,,,
1249,Life expectancy at birth (years),Published,2012,Americas,High-income,Barbados,Female,81,81.0,,,
1250,Life expectancy at birth (years),Published,2012,Americas,High-income,Barbados,Both sexes,78,78.0,,,
1251,Life expectancy at age 60 (years),Published,2000,Americas,High-income,Barbados,Both sexes,22,22.0,,,
1252,Life expectancy at birth (years),Published,2012,Western Pacific,High-income,Brunei Darussalam,Female,78,78.0,,,
1253,Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Brunei Darussalam,Both sexes,73,73.0,,,
1254,Life expectancy at birth (years),Published,2000,Western Pacific,High-income,Brunei Darussalam,Both sexes,76,76.0,,,
1255,Life expectancy at birth (years),Published,2012,Americas,High-income,Canada,Male,80,80.0,,,
1256,Life expectancy at age 60 (years),Published,2000,Americas,High-income,Canada,Female,25,25.0,,,
1257,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Switzerland,Male,21,21.0,,,
1258,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Switzerland,Male,24,24.0,,,
1259,Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Cook Islands,Male,67,67.0,,,
1260,Life expectancy at birth (years),Published,2000,Western Pacific,High-income,Cook Islands,Male,69,69.0,,,
1261,Life expectancy at birth (years),Published,2000,Western Pacific,High-income,Cook Islands,Both sexes,72,72.0,,,
1262,Life expectancy at age 60 (years),Published,1990,Western Pacific,High-income,Cook Islands,Male,17,17.0,,,
1263,Life expectancy at age 60 (years),Published,2012,Western Pacific,High-income,Cook Islands,Both sexes,21,21.0,,,
1264,Life expectancy at birth (years),Published,1990,Europe,High-income,Cyprus,Both sexes,76,76.0,,,
1265,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Cyprus,Both sexes,21,21.0,,,
1266,Life expectancy at birth (years),Published,2000,Europe,High-income,Czech Republic,Female,78,78.0,,,
1267,Life expectancy at birth (years),Published,2012,Europe,High-income,Czech Republic,Female,81,81.0,,,
1268,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Czech Republic,Female,21,21.0,,,
1269,Life expectancy at age 60 (years),Published,2012,Europe,High-income,Czech Republic,Female,23,23.0,,,
1270,Life expectancy at birth (years),Published,1990,Europe,High-income,Germany,Male,72,72.0,,,
1271,Life expectancy at birth (years),Published,2000,Europe,High-income,Germany,Male,75,75.0,,,
1272,Life expectancy at birth (years),Published,2012,Europe,High-income,Denmark,Male,78,78.0,,,
1273,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Denmark,Both sexes,20,20.0,,,
1274,Life expectancy at birth (years),Published,2012,Europe,High-income,Spain,Female,85,85.0,,,
1275,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Spain,Both sexes,23,23.0,,,
1276,Life expectancy at birth (years),Published,2000,Europe,High-income,Estonia,Female,76,76.0,,,
1277,Life expectancy at birth (years),Published,1990,Europe,High-income,Estonia,Both sexes,70,70.0,,,
1278,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Estonia,Female,20,20.0,,,
1279,Life expectancy at birth (years),Published,2000,Europe,High-income,Finland,Male,74,74.0,,,
1280,Life expectancy at birth (years),Published,2012,Europe,High-income,Finland,Male,78,78.0,,,
1281,Life expectancy at age 60 (years),Published,2000,Europe,High-income,Finland,Male,19,19.0,,,
1282,Life expectancy at age 60 (years),Published,1990,Europe,High-income,Finland,Female,22,22.0,,,
1283,Life expectancy at birth (years),Published,2012,Europe,High-income,France,Male,79,79.0,,,
1284,Life expectancy at birth (years),Published,2000,Europe,High-income,France,Both sexes,79,79.0,,,
1285,Life expectancy at birth (years),Published,2012,Europe,High-income,France,Both sexes,82,82.0,,,
